"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso_state_interactions","min",1,2017,"coc_unemployment_rate_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_high_school_graduate_pct:FL",-8.44287287306392,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_homeownership_rate_pct:FL",8.76002923245969,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_cost_burdened_households_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_income_inequality_ratio:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_annual_hpi_change_pct:FL",-1.02451149444883,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_real_gdp_per_capita_2017_usd:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_minimum_wage_2025_usd:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_medicaid_expansion:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_hic_temporary_beds_per_10k:FL",-9.93674256919024,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_hic_psh_beds_per_10k:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_homeless_funding_per_capita:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_anticamping_strictness:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_tanf_max_benefit_3person:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_ssi_state_supplement:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_labor_force_participation:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_substance_use_disorder_rate:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_serious_mental_illness_rate:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_uninsured_rate:FL",0,0.276627216886791
