"sample_id","model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"control_time_index",-1.37828951244628,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_contains_split_county_flag:FL",-1.14034363893407,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_real_gdp_quantity_index",0.992392515322449,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_group_quarters_per_1000_residents:FL",-0.551014652197126,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_population_growth_rate_pct",-0.401829974930971,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_annual_hpi_change_pct:FL",-0.373067525096848,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_annual_hpi_change_pct",-0.309207921776541,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_income_inequality_ratio:FL",-0.015749354109704,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"(Intercept)",37.8825160612115,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_hic_psh_beds_per_10k",11.9533989278166,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_log_estimated_population",-7.62259817342616,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"control_state_florida",-5.26837578237656,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_hic_temporary_beds_per_10k",4.62689809101476,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_population_density_per_sq_mile",-3.54634705755856,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_housing_cost_burdened_households_pct",2.21524524525892,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_international_migration_rate_per_1000",-1.78215524397458,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_housing_units_per_1000_residents",0.823891801965326,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_annual_hpi_change_pct",-0.785182579173109,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"control_time_index",-0.684763451184659,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_contains_split_county_flag:FL",-0.491551824938798,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_population_growth_rate_pct",-0.382218754455824,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_annual_hpi_change_pct:FL",-0.156542058280812,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",4,2020,"coc_real_gdp_quantity_index:FL",-0.128574201284123,1.09433389902649
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"(Intercept)",37.17754148479,1.00791796650894
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"coc_hic_psh_beds_per_10k",10.8225802086097,1.00791796650894
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"control_state_florida",-7.71743119038267,1.00791796650894
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"coc_log_estimated_population",-7.04168271629071,1.00791796650894
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"coc_hic_temporary_beds_per_10k",5.61108818960859,1.00791796650894
"S0_primary","pooled_lasso_state_interactions","1se",5,2022,"coc_population_density_per_sq_mile",-3.30737462338424,1.00791796650894
