"sample_id","model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se",2,2018,"all",69,10.1624209736392,4.5161020735257,0.833027104229308
"S4_persistence","state_time_baseline","none",3,2019,"all",69,22.4779507523863,15.3783659935515,0.133092753605574
"S4_persistence","pooled_lasso","min",3,2019,"all",69,18.1099892870642,11.8367764980655,0.437275804093771
"S4_persistence","pooled_lasso","1se",3,2019,"all",69,18.2607047515156,11.5402333000772,0.427870591706645
"S4_persistence","pooled_lasso_state_interactions","min",3,2019,"all",69,17.7132795543569,11.623481588132,0.46165937292241
"S4_persistence","pooled_lasso_state_interactions","1se",3,2019,"all",69,18.0373125892943,11.5933599655357,0.441783247415134
"S4_persistence","prior_rate_only","none",3,2019,"all",69,14.2991040970784,7.58704217461753,0.649186047186862
"S4_persistence","state_time_prior_rate","none",3,2019,"all",69,13.6517470554768,6.99728305766499,0.68023150841113
"S4_persistence","pooled_lasso_plus_prior","min",3,2019,"all",69,13.651746884306,6.99728271691276,0.680231516429892
"S4_persistence","pooled_lasso_plus_prior","1se",3,2019,"all",69,13.651746884306,6.99728271691276,0.680231516429892
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min",3,2019,"all",69,13.651746884306,6.99728271691276,0.680231516429892
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se",3,2019,"all",69,13.651746884306,6.99728271691276,0.680231516429892
"S4_persistence","state_time_baseline","none",4,2020,"all",70,21.1367781762659,14.3305337698207,0.193914532507191
"S4_persistence","pooled_lasso","min",4,2020,"all",70,16.542367036669,10.5161250686722,0.506259426204639
"S4_persistence","pooled_lasso","1se",4,2020,"all",70,16.5239665656432,10.0107416139738,0.507357214246439
"S4_persistence","pooled_lasso_state_interactions","min",4,2020,"all",70,15.6710862927174,10.2206920299043,0.556900034342395
"S4_persistence","pooled_lasso_state_interactions","1se",4,2020,"all",70,16.2367083194951,10.1277902517252,0.524336869045423
"S4_persistence","prior_rate_only","none",4,2020,"all",70,4.89773392488994,3.43549574204263,0.956719338687683
"S4_persistence","state_time_prior_rate","none",4,2020,"all",70,4.18524607058419,2.99688351716725,0.968395748664251
"S4_persistence","pooled_lasso_plus_prior","min",4,2020,"all",70,4.18524593279591,2.99688284012491,0.968395750745226
"S4_persistence","pooled_lasso_plus_prior","1se",4,2020,"all",70,4.18524593279591,2.99688284012491,0.968395750745226
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min",4,2020,"all",70,4.18524593279591,2.99688284012491,0.968395750745226
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se",4,2020,"all",70,4.18524593279591,2.99688284012491,0.968395750745226
"S4_persistence","state_time_baseline","none",6,2023,"all",69,21.8789340824013,14.7331582709187,0.152209173202507
"S4_persistence","pooled_lasso","min",6,2023,"all",69,16.5610314807205,11.6729750315593,0.514251845888075
"S4_persistence","pooled_lasso","1se",6,2023,"all",69,15.1927862345073,9.09692939512674,0.591199660283332
"S4_persistence","pooled_lasso_state_interactions","min",6,2023,"all",69,15.1019763069716,11.7513969016025,0.59607199679261
"S4_persistence","pooled_lasso_state_interactions","1se",6,2023,"all",69,16.1659026283623,11.4553994685956,0.537154217575385
"S4_persistence","prior_rate_only","none",6,2023,"all",69,6.94167491301883,4.48149414557298,0.914657583471592
"S4_persistence","state_time_prior_rate","none",6,2023,"all",69,6.60646467606159,4.43460742562034,0.922700866095172
"S4_persistence","pooled_lasso_plus_prior","min",6,2023,"all",69,6.60646648987214,4.4346092339339,0.922700823650078
"S4_persistence","pooled_lasso_plus_prior","1se",6,2023,"all",69,6.60646648987214,4.4346092339339,0.922700823650078
"S4_persistence","pooled_lasso_state_interactions_plus_prior","min",6,2023,"all",69,6.60646648987214,4.4346092339339,0.922700823650078
"S4_persistence","pooled_lasso_state_interactions_plus_prior","1se",6,2023,"all",69,6.60646648987214,4.4346092339339,0.922700823650078
"S4_persistence","state_time_baseline","none",7,2024,"all",70,22.2136430053803,15.1531110539069,0.226388660756745
"S4_persistence","pooled_lasso","min",7,2024,"all",70,14.0209292076023,9.3314929443086,0.691797012762505
