"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_gdp_per_capita_2017_usd:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_median_household_income_2025_usd:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_per_capita_personal_income_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_per_capita_personal_income_2025_usd:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_relative_home_price_index_2000_base","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_relative_home_price_index_2000_base:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","coc_unemployment_rate_pct:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_anticamping_strictness:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_labor_force_participation_pct","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_labor_force_participation_pct:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_medicaid_expansion","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_medicaid_expansion:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_real_median_rent_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
