year,coc_number,coc_name,count_type,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless_individuals,homeless_veterans,homeless_unaccompanied_youth_under_25
2023,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,2266.0,975.0,1291.0,2063.0,203.0,539.0,110.0,294.0
2023,CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2372.0,719.0,1653.0,2047.0,325.0,1494.0,110.0,84.0
2023,CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered-Only Count*,2212.0,587.0,1625.0,2016.0,196.0,590.0,143.0,216.0
2023,CA-507,Marin County CoC,Sheltered-Only Count*,1118.0,288.0,830.0,885.0,233.0,255.0,66.0,125.0
2023,CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered and Unsheltered Count,1804.0,378.0,1426.0,1541.0,263.0,536.0,159.0,334.0
2023,CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,633.0,223.0,410.0,560.0,73.0,123.0,14.0,24.0
2023,CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,2091.0,1142.0,949.0,1717.0,374.0,550.0,101.0,92.0
2023,CA-511,Stockton/San Joaquin County CoC,Sheltered-Only Count*,2454.0,1099.0,1355.0,2102.0,352.0,876.0,149.0,116.0
2023,CA-512,Daly/San Mateo County CoC,Sheltered-Only Count*,1859.0,767.0,1092.0,1406.0,453.0,559.0,93.0,49.0
2023,CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,1470.0,381.0,1089.0,1279.0,191.0,436.0,92.0,72.0
2023,CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,4493.0,1735.0,2758.0,3865.0,628.0,1460.0,235.0,162.0
2023,CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered and Unsheltered Count,709.0,302.0,407.0,642.0,67.0,244.0,47.0,34.0
2023,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,2521.0,1087.0,1434.0,2036.0,485.0,728.0,174.0,143.0
2023,CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,506.0,157.0,349.0,456.0,50.0,187.0,17.0,35.0
2023,CA-518,Vallejo/Solano County CoC,Sheltered-Only Count*,1200.0,280.0,920.0,1126.0,74.0,144.0,38.0,48.0
2023,CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,1237.0,657.0,580.0,1084.0,153.0,468.0,72.0,50.0
2023,CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,784.0,394.0,390.0,646.0,138.0,223.0,29.0,25.0
2023,CA-521,"Davis, Woodland/Yolo County CoC",Sheltered-Only Count*,737.0,359.0,378.0,614.0,123.0,334.0,20.0,31.0
2023,CA-522,Humboldt County CoC,Sheltered-Only Count*,1656.0,347.0,1309.0,1551.0,105.0,714.0,183.0,57.0
2023,CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,360.0,180.0,180.0,201.0,159.0,64.0,25.0,11.0
2023,CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,963.0,281.0,682.0,754.0,209.0,365.0,57.0,15.0
2023,CA-525,El Dorado County CoC,Sheltered-Only Count*,491.0,53.0,438.0,479.0,12.0,92.0,4.0,82.0
2023,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered-Only Count*,731.0,237.0,494.0,562.0,169.0,226.0,46.0,36.0
2023,CA-527,Tehama County CoC,Sheltered and Unsheltered Count,304.0,57.0,247.0,264.0,40.0,104.0,21.0,10.0
2023,CA-529,Lake County CoC,Sheltered-Only Count*,460.0,201.0,259.0,350.0,110.0,65.0,15.0,25.0
2023,CA-530,"Alpine, Inyo, Mono Counties CoC",Sheltered and Unsheltered Count,88.0,14.0,74.0,74.0,14.0,21.0,5.0,7.0
2023,CA-531,Nevada County CoC,Sheltered and Unsheltered Count,492.0,265.0,227.0,411.0,81.0,146.0,27.0,24.0
2023,CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,71320.0,19013.0,52307.0,60843.0,10477.0,30442.0,3874.0,2871.0
2023,CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,10264.0,5093.0,5171.0,8130.0,2134.0,3225.0,814.0,586.0
2023,CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered-Only Count*,6050.0,2993.0,3057.0,4846.0,1204.0,2458.0,238.0,178.0
2023,CA-603,Santa Maria/Santa Barbara County CoC,Sheltered and Unsheltered Count,1887.0,685.0,1202.0,1595.0,292.0,582.0,82.0,80.0
2023,CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,1948.0,931.0,1017.0,1749.0,199.0,503.0,92.0,111.0
2023,CA-606,Long Beach CoC,Sheltered and Unsheltered Count,3447.0,965.0,2482.0,3353.0,94.0,1338.0,362.0,132.0
2023,CA-607,Pasadena CoC,Sheltered and Unsheltered Count,556.0,253.0,303.0,487.0,69.0,288.0,40.0,36.0
2023,CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,3725.0,1284.0,2441.0,3246.0,479.0,896.0,252.0,234.0
2023,CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,4195.0,1219.0,2976.0,3686.0,509.0,1421.0,231.0,244.0
2023,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,2441.0,808.0,1633.0,2222.0,219.0,1092.0,180.0,85.0
2023,CA-612,Glendale CoC,Sheltered and Unsheltered Count,195.0,106.0,89.0,123.0,72.0,23.0,6.0,8.0
2023,CA-613,Imperial County CoC,Sheltered and Unsheltered Count,1303.0,157.0,1146.0,1218.0,85.0,803.0,142.0,47.0
2023,CA-614,San Luis Obispo County CoC,Sheltered-Only Count*,1532.0,376.0,1156.0,1107.0,425.0,237.0,21.0,78.0
2023,FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,1150.0,630.0,520.0,975.0,175.0,132.0,122.0,45.0
2023,FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,2040.0,905.0,1135.0,1428.0,612.0,202.0,176.0,65.0
2023,FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,2144.0,1498.0,646.0,1638.0,506.0,545.0,292.0,66.0
2023,FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,776.0,604.0,172.0,476.0,300.0,135.0,14.0,34.0
2023,FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,1053.0,470.0,583.0,741.0,312.0,122.0,80.0,36.0
2023,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,395.0,138.0,257.0,314.0,81.0,81.0,24.0,18.0
