"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","shallow_8_drop",2025,123,70,10.7358788924595,8.29044960921243,0.808867949339998,63,0.21706460416317
"factors","shallow_8_drop",2025,2024,70,11.6261617035656,8.58166716536252,0.775853980890886,78,0.206812024116516
"factors","shallow_8_drop",2025,31337,70,12.4394999697225,9.3165797313785,0.743395564716121,76,0.214194372296333
"factors_plus_prior","no_hidden",2017,10,68,17.9063047226056,16.5133997674528,0.415579219158501,300,0.130518928170204
"factors_plus_prior","no_hidden",2017,42,68,13.018705913723,10.0802317662986,0.691077641639134,300,0.103041149675846
"factors_plus_prior","no_hidden",2017,123,68,15.0609051519703,10.8623469796404,0.586556798035691,181,0.0989703759551048
"factors_plus_prior","no_hidden",2017,2024,68,12.7411849903148,10.7305261016402,0.704107912986588,300,0.136864438652992
"factors_plus_prior","no_hidden",2017,31337,68,15.099859182033,13.4783813847241,0.584415345530347,300,0.0821370407938957
"factors_plus_prior","no_hidden",2018,10,69,10.3753704592468,5.74045232208731,0.825956086098699,300,0.311500012874603
"factors_plus_prior","no_hidden",2018,42,69,11.6323393503396,7.19448371500949,0.781231019433528,120,0.180704459547997
"factors_plus_prior","no_hidden",2018,123,69,9.78216424414217,6.05393185059382,0.845288884623592,198,0.275665491819382
"factors_plus_prior","no_hidden",2018,2024,69,10.4129505702461,5.87939821748686,0.82469301124266,245,0.179622665047646
"factors_plus_prior","no_hidden",2018,31337,69,9.42378474406606,5.17114632016094,0.85641722873914,300,0.287910491228104
"factors_plus_prior","no_hidden",2019,10,69,14.7129425794816,8.23102321875725,0.628585989205033,300,0.147520333528519
"factors_plus_prior","no_hidden",2019,42,69,14.8420681071248,8.1538734943204,0.622038083262617,300,0.149516478180885
"factors_plus_prior","no_hidden",2019,123,69,14.8712299206608,8.02316088780501,0.620551378987902,300,0.128205344080925
"factors_plus_prior","no_hidden",2019,2024,69,14.6638207544285,8.05473435729339,0.631061915094167,300,0.139581710100174
"factors_plus_prior","no_hidden",2019,31337,69,14.8062728710167,8.1128226246558,0.623858977957328,300,0.121668055653572
"factors_plus_prior","no_hidden",2020,10,70,9.67555456216214,7.82510278748587,0.8310900454992,300,0.303554832935333
"factors_plus_prior","no_hidden",2020,42,70,8.48811343576954,7.01671956813411,0.870005235372074,300,0.309787452220917
"factors_plus_prior","no_hidden",2020,123,70,10.0841950951264,7.93319159691454,0.81652115791163,300,0.309018343687057
"factors_plus_prior","no_hidden",2020,2024,70,7.61520247462516,4.90786430148548,0.895367543359466,300,0.299376100301743
"factors_plus_prior","no_hidden",2020,31337,70,7.82244791965619,6.11188894237157,0.889594966714637,300,0.306686818599701
"factors_plus_prior","no_hidden",2023,10,69,8.20815933359489,6.26704951640006,0.880675959758803,80,0.281888633966446
"factors_plus_prior","no_hidden",2023,42,69,9.68299299607675,7.77826565249742,0.833943595998306,109,0.196639060974121
"factors_plus_prior","no_hidden",2023,123,69,8.79331746717884,6.67751153546111,0.863056349947265,116,0.475433200597763
"factors_plus_prior","no_hidden",2023,2024,69,6.80484124599215,4.89958970093932,0.917988946842349,300,0.365571618080139
"factors_plus_prior","no_hidden",2023,31337,69,11.4343518908587,9.45544034153955,0.768442154340883,84,0.119326233863831
"factors_plus_prior","no_hidden",2024,10,70,7.91123482681066,5.80875003478383,0.90187677759427,181,0.0774068236351013
"factors_plus_prior","no_hidden",2024,42,70,8.02092069545435,5.85937045007178,0.899137043168854,263,0.084447331726551
"factors_plus_prior","no_hidden",2024,123,70,7.27091179659734,5.12197908280812,0.917117850980934,300,0.0700531154870987
"factors_plus_prior","no_hidden",2024,2024,70,7.67035965335068,5.46880513651008,0.907760974380795,174,0.0646535977721214
"factors_plus_prior","no_hidden",2024,31337,70,7.58659783777744,5.53061445253058,0.909764510929089,300,0.0923452153801918
"factors_plus_prior","no_hidden",2025,10,70,6.24138459943845,4.13377450199424,0.935401831953852,147,0.086803026497364
"factors_plus_prior","no_hidden",2025,42,70,8.33658293297691,6.50646047797303,0.884751717560615,112,0.0894791185855865
"factors_plus_prior","no_hidden",2025,123,70,6.94527100949615,5.31684396973935,0.920009814176412,227,0.0766419172286987
"factors_plus_prior","no_hidden",2025,2024,70,6.78688461415434,5.21077381903433,0.923616554733538,230,0.0879442319273949
"factors_plus_prior","no_hidden",2025,31337,70,8.01754372912969,6.40226280392142,0.893403980754378,84,0.0762420073151588
"factors_plus_prior","class_16_8",2017,10,68,12.7716034457275,9.68472109675647,0.702693393958977,44,0.148616909980774
"factors_plus_prior","class_16_8",2017,42,68,21.5646350104306,16.7604821849853,0.152386368858504,77,0.143640965223312
"factors_plus_prior","class_16_8",2017,123,68,16.5086735615443,12.4417807636783,0.503249779681876,28,0.185628801584244
"factors_plus_prior","class_16_8",2017,2024,68,14.9548750546074,10.7851656430467,0.592357659651942,40,0.172343030571938
"factors_plus_prior","class_16_8",2017,31337,68,12.7064512477854,9.16281271280803,0.705718976778752,46,0.178812146186829
"factors_plus_prior","class_16_8",2018,10,69,12.8189115712237,8.01099124344516,0.734323023858761,57,0.199298083782196
"factors_plus_prior","class_16_8",2018,42,69,13.0724526061408,8.53566123577577,0.723709617112028,24,0.430624723434448
"factors_plus_prior","class_16_8",2018,123,69,12.1737090698345,7.5786721662207,0.76039412988896,89,0.273700624704361
"factors_plus_prior","class_16_8",2018,2024,69,11.468782886715,7.89976313145063,0.787339770195718,21,0.254385858774185
"factors_plus_prior","class_16_8",2018,31337,69,12.1998139162333,7.96783380006058,0.759365424379571,40,0.213765144348145
"factors_plus_prior","class_16_8",2019,10,69,14.4837398425031,9.49268428018324,0.64006785609606,40,0.208722114562988
"factors_plus_prior","class_16_8",2019,42,69,13.7183199775848,7.98832015840945,0.677105193777137,51,0.194042846560478
"factors_plus_prior","class_16_8",2019,123,69,16.8107370659388,9.47048853377321,0.515121739019851,114,0.201252147555351
"factors_plus_prior","class_16_8",2019,2024,69,15.6587249695875,9.4161741154392,0.579300500951393,118,0.139041319489479
"factors_plus_prior","class_16_8",2019,31337,69,14.1741313838762,8.51507219901568,0.655291406398098,116,0.157516449689865
"factors_plus_prior","class_16_8",2020,10,70,12.6625581855244,7.97892895296573,0.710701341203002,47,0.279189258813858
"factors_plus_prior","class_16_8",2020,42,70,9.78961018710856,5.95712209143448,0.827084346567653,40,0.264784187078476
"factors_plus_prior","class_16_8",2020,123,70,14.9095895592427,7.34155994341402,0.598916414740208,51,0.402296662330627
