"variable","row","value","robust_z","coc","state","predictor_year"
"coc_permits_per_1000_housing_units",561,31.7598945590643,5.47,"FL-500","Florida",2023
"coc_population_density_per_sq_mile",32,2218.88657712254,5.46,"CA-502","California",2016
"coc_permits_value_per_1000_housing_units_2025_usd",559,9884549.2452607,5.46,"FL-500","Florida",2021
"coc_hic_psh_beds_per_10k",457,40.1007111734684,5.46,"CA-606","California",2023
"coc_domestic_migration_rate_per_1000",753,-50.9401756848069,-5.45,"FL-515","Florida",2019
"coc_real_per_capita_personal_income_2025_usd",22,160320.675882436,5.44,"CA-501","California",2019
"coc_population_density_per_sq_mile",36,2209.9153375924,5.43,"CA-502","California",2021
"coc_international_migration_rate_per_1000",800,15.04359014,5.42,"FL-600","Florida",2014
"coc_permits_value_per_1000_housing_units_2025_usd",598,9822622.72662788,5.41,"FL-503","Florida",2021
"coc_international_migration_rate_per_1000",872,15.00410268,5.41,"FL-605","Florida",2022
"coc_population_density_per_sq_mile",39,2199.63234828226,5.4,"CA-502","California",2024
"coc_unemployment_rate_pct",530,19.9,5.4,"CA-613","California",2017
"state_rental_vacancy_rate",551,13.1,5.4,"FL-500","Florida",2012
"state_rental_vacancy_rate",564,13.1,5.4,"FL-501","Florida",2012
"state_rental_vacancy_rate",577,13.1,5.4,"FL-502","Florida",2012
"state_rental_vacancy_rate",590,13.1,5.4,"FL-503","Florida",2012
"state_rental_vacancy_rate",603,13.1,5.4,"FL-504","Florida",2012
"state_rental_vacancy_rate",616,13.1,5.4,"FL-505","Florida",2012
"state_rental_vacancy_rate",629,13.1,5.4,"FL-506","Florida",2012
"state_rental_vacancy_rate",642,13.1,5.4,"FL-507","Florida",2012
"state_rental_vacancy_rate",655,13.1,5.4,"FL-508","Florida",2012
"state_rental_vacancy_rate",668,13.1,5.4,"FL-509","Florida",2012
"state_rental_vacancy_rate",681,13.1,5.4,"FL-510","Florida",2012
"state_rental_vacancy_rate",694,13.1,5.4,"FL-511","Florida",2012
"state_rental_vacancy_rate",707,13.1,5.4,"FL-512","Florida",2012
"state_rental_vacancy_rate",720,13.1,5.4,"FL-513","Florida",2012
"state_rental_vacancy_rate",733,13.1,5.4,"FL-514","Florida",2012
"state_rental_vacancy_rate",746,13.1,5.4,"FL-515","Florida",2012
"state_rental_vacancy_rate",759,13.1,5.4,"FL-517","Florida",2012
"state_rental_vacancy_rate",772,13.1,5.4,"FL-519","Florida",2012
"state_rental_vacancy_rate",785,13.1,5.4,"FL-520","Florida",2012
"state_rental_vacancy_rate",798,13.1,5.4,"FL-600","Florida",2012
"state_rental_vacancy_rate",811,13.1,5.4,"FL-601","Florida",2012
"state_rental_vacancy_rate",824,13.1,5.4,"FL-602","Florida",2012
"state_rental_vacancy_rate",837,13.1,5.4,"FL-603","Florida",2012
"state_rental_vacancy_rate",850,13.1,5.4,"FL-604","Florida",2012
"state_rental_vacancy_rate",863,13.1,5.4,"FL-605","Florida",2012
"state_rental_vacancy_rate",876,13.1,5.4,"FL-606","Florida",2012
"coc_population_density_per_sq_mile",31,2196.82875192872,5.39,"CA-502","California",2015
"coc_population_density_per_sq_mile",37,2194.94714363776,5.39,"CA-502","California",2022
"coc_population_density_per_sq_mile",38,2194.83559114622,5.39,"CA-502","California",2023
"coc_hic_temporary_beds_per_10k",858,44.6140941636985,5.39,"FL-604","Florida",2021
"coc_housing_supply_growth_rate_pct",796,2.91285282439008,5.36,"FL-520","Florida",2024
"coc_real_gdp_per_capita_2017_usd",7,143927.750994372,5.36,"CA-500","California",2017
"coc_permits_per_1000_housing_units",676,31.2253001471447,5.35,"FL-509","Florida",2021
"coc_permits_per_1000_housing_units",845,31.2493438197738,5.35,"FL-603","Florida",2021
"coc_domestic_migration_rate_per_1000",255,-50.04838441,-5.35,"CA-519","California",2019
"coc_international_migration_rate_per_1000",574,14.83728922,5.34,"FL-501","Florida",2023
"coc_hic_psh_beds_per_10k",471,39.3672771854128,5.34,"CA-607","California",2024
"coc_permits_value_per_1000_housing_units_2025_usd",718,9700519.15192781,5.33,"FL-512","Florida",2024
"coc_domestic_migration_rate_per_1000",832,51.49959146,5.33,"FL-602","Florida",2021
"coc_group_quarters_per_1000_residents",631,75.5191230406164,5.33,"FL-506","Florida",2014
"coc_international_migration_rate_per_1000",799,14.77716252,5.31,"FL-600","Florida",2013
"coc_international_migration_rate_per_1000",885,14.76491861,5.31,"FL-606","Florida",2022
"coc_group_quarters_per_1000_residents",746,75.3333175536537,5.31,"FL-515","Florida",2012
"coc_housing_supply_growth_rate_pct",848,2.88913644830007,5.31,"FL-603","Florida",2024
"coc_real_per_capita_personal_income_2025_usd",163,158129.643430375,5.31,"CA-512","California",2018
"coc_housing_supply_growth_rate_pct",598,2.88398733859216,5.3,"FL-503","Florida",2021
"coc_real_per_capita_personal_income_2025_usd",12,157892.919050831,5.3,"CA-500","California",2023
"coc_hic_temporary_beds_per_10k",861,44.0163384746693,5.3,"FL-604","Florida",2024
"coc_population_density_per_sq_mile",30,2160.88196953573,5.29,"CA-502","California",2014
"coc_group_quarters_per_1000_residents",630,75.1065161077678,5.29,"FL-506","Florida",2013
"coc_population_growth_rate_pct",114,-3.918559895,-5.28,"CA-508","California",2021
"coc_permits_per_1000_housing_units",846,30.8542977651531,5.27,"FL-603","Florida",2022
"coc_hic_psh_beds_per_10k",127,38.8972892424342,5.27,"CA-509","California",2021
"coc_group_quarters_per_1000_residents",628,74.5793835290624,5.24,"FL-506","Florida",2011
"coc_housing_supply_growth_rate_pct",711,2.86088687493122,5.24,"FL-512","Florida",2016
"coc_real_median_household_income_2025_usd",13,171382.855051123,5.22,"CA-500","California",2024
"coc_real_per_capita_personal_income_2025_usd",98,156355.529294808,5.22,"CA-507","California",2017
"coc_permits_value_per_1000_housing_units_2025_usd",627,9514163.8514577,5.2,"FL-505","Florida",2024
"coc_housing_supply_growth_rate_pct",795,2.8423461843745,5.2,"FL-520","Florida",2023
"coc_real_per_capita_personal_income_2025_usd",11,156118.725195562,5.2,"CA-500","California",2022
"coc_population_density_per_sq_mile",29,2122.98234653789,5.18,"CA-502","California",2013
"coc_high_school_graduate_pct",524,63.4,-5.18,"CA-613","California",2011
"coc_group_quarters_per_1000_residents",747,73.8904025017112,5.17,"FL-515","Florida",2013
"coc_housing_supply_growth_rate_pct",794,2.82368929034673,5.16,"FL-520","Florida",2022
"coc_real_median_household_income_2025_usd",164,170310.020913147,5.16,"CA-512","California",2019
"coc_permits_value_per_1000_housing_units_2025_usd",560,9438617.69031101,5.15,"FL-500","Florida",2022
"coc_international_migration_rate_per_1000",797,14.40244616,5.15,"FL-600","Florida",2011
"coc_international_migration_rate_per_1000",874,14.40103927,5.15,"FL-605","Florida",2024
"coc_group_quarters_per_1000_residents",632,73.6380893315261,5.15,"FL-506","Florida",2015
"coc_permits_per_1000_housing_units",710,30.2693835088878,5.14,"FL-512","Florida",2015
"coc_group_quarters_per_1000_residents",629,73.5742245631119,5.14,"FL-506","Florida",2012
"coc_group_quarters_per_1000_residents",748,73.5031559664691,5.14,"FL-515","Florida",2014
"coc_housing_supply_growth_rate_pct",709,2.80746968608729,5.12,"FL-512","Florida",2014
"coc_permits_per_1000_housing_units",795,30.1357377689528,5.11,"FL-520","Florida",2023
"coc_real_gdp_per_capita_2017_usd",161,139398.841686811,5.11,"CA-512","California",2016
"coc_permits_value_per_1000_housing_units_2025_usd",885,9378940.52385759,5.1,"FL-606","Florida",2022
"coc_income_inequality_ratio",19,26.7734999611892,5.1,"CA-501","California",2016
"coc_permits_per_1000_housing_units",847,30.0230998031091,5.09,"FL-603","Florida",2023
"coc_real_per_capita_personal_income_2025_usd",20,154024.09955751,5.09,"CA-501","California",2017
"coc_real_per_capita_personal_income_2025_usd",887,154095.1340091,5.09,"FL-606","Florida",2024
"coc_high_school_graduate_pct",525,63.8,-5.09,"CA-613","California",2012
"coc_income_inequality_ratio",23,26.7571436591254,5.09,"CA-501","California",2021
"coc_population_density_per_sq_mile",28,2088.26801757547,5.08,"CA-502","California",2012
"coc_housing_supply_growth_rate_pct",782,2.79038271155128,5.08,"FL-519","Florida",2023
"coc_permits_value_per_1000_housing_units_2025_usd",886,9329050.55293872,5.07,"FL-606","Florida",2023
"coc_permits_per_1000_housing_units",793,29.8887560908339,5.06,"FL-520","Florida",2021
"coc_unemployment_rate_pct",531,19,5.06,"CA-613","California",2018
"coc_real_median_household_income_2025_usd",10,167722.965626143,5.02,"CA-500","California",2021
"coc_real_gdp_per_capita_2017_usd",6,137655.877102127,5.01,"CA-500","California",2016
