"scope","model","lambda_rule","fold","group","n_exported","n_recomputed","rmse_exported","rmse_recomputed","mae_exported","mae_recomputed","r2_exported","r2_recomputed","rmse_abs_diff","mae_abs_diff","r2_abs_diff","n_match","max_abs_diff","status"
"by_fold_raw_target","separate_lasso_CA","1se",5,"California",44,44,14.3951600890954,14.3951600890955,11.780232535999,11.780232535999,0.626217629094517,0.626217629094517,5.15143483426073e-14,1.06581410364015e-14,0,TRUE,5.15143483426073e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",5,"Florida",26,26,11.1047809971614,11.1047809971614,10.1501241123316,10.1501241123316,-0.0708749883753064,-0.0708749883753064,4.44089209850063e-14,2.48689957516035e-14,2.77555756156289e-17,TRUE,4.44089209850063e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",5,"Florida",26,26,9.7113393550911,9.7113393550911,8.39731801826662,8.39731801826662,0.181012939816378,0.181012939816377,5.32907051820075e-15,3.5527136788005e-15,5.55111512312578e-16,TRUE,5.32907051820075e-15,"PASS"
"by_fold_raw_target","separate_state_lasso","min",5,"all",70,70,13.7169686269677,13.7169686269677,11.3609682639625,11.3609682639625,0.692223239959865,0.692223239959865,1.59872115546023e-14,3.19744231092045e-14,1.11022302462516e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",5,"all",70,70,12.856221845252,12.856221845252,10.5237214294127,10.5237214294127,0.729637627547657,0.729637627547657,3.01980662698043e-14,3.5527136788005e-15,4.44089209850063e-16,TRUE,3.01980662698043e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",6,"all",69,69,20.8667290782308,20.8667290782308,14.6125581051526,14.6125581051526,0.228838839213804,0.228838839213805,1.77635683940025e-14,2.66453525910038e-14,8.88178419700125e-16,TRUE,2.66453525910038e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",6,"all",69,69,15.6004365289326,15.6004365289326,10.8833369295284,10.8833369295284,0.568967621183286,0.568967621183286,4.9737991503207e-14,1.24344978758018e-14,1.11022302462516e-16,TRUE,4.9737991503207e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",6,"all",69,69,14.1654732209946,14.1654732209946,8.50326211538882,8.50326211538882,0.644615429558683,0.644615429558683,4.2632564145606e-14,0,1.11022302462516e-16,TRUE,4.2632564145606e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",6,"all",69,69,14.4008364478112,14.4008364478112,10.883127030733,10.883127030733,0.632707695059161,0.632707695059161,4.61852778244065e-14,3.37507799486048e-14,2.22044604925031e-16,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",6,"all",69,69,14.8825229878439,14.8825229878439,10.1377407255299,10.1377407255299,0.60772600576856,0.60772600576856,1.77635683940025e-14,2.30926389122033e-14,1.11022302462516e-16,TRUE,2.30926389122033e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",6,"California",43,43,14.9679994311573,14.9679994311573,12.0104041196269,12.0104041196269,0.58636632811627,0.58636632811627,2.1316282072803e-14,7.105427357601e-15,1.11022302462516e-16,TRUE,2.1316282072803e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",6,"California",43,43,14.496273703945,14.496273703945,11.41857331474,11.41857331474,0.612027333263574,0.612027333263574,1.06581410364015e-14,2.30926389122033e-14,2.22044604925031e-16,TRUE,2.30926389122033e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",6,"Florida",26,26,11.9063062998987,11.9063062998987,10.4437270158497,10.4437270158497,-0.278661210521147,-0.278661210521147,1.06581410364015e-14,1.77635683940025e-15,0,TRUE,1.06581410364015e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",6,"Florida",26,26,11.0339865891431,11.0339865891431,9.30750266222489,9.30750266222489,-0.0981616981592401,-0.098161698159241,1.95399252334028e-14,1.77635683940025e-15,9.29811783123569e-16,TRUE,1.95399252334028e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","min",6,"all",69,69,13.8937618533218,13.8937618533218,11.4200620225514,11.4200620225514,0.658118111239622,0.658118111239622,1.06581410364015e-14,3.5527136788005e-14,3.33066907387547e-16,TRUE,3.5527136788005e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",6,"all",69,69,13.2979099737192,13.2979099737192,10.6230974166908,10.6230974166908,0.686813401182226,0.686813401182226,1.95399252334028e-14,1.4210854715202e-14,4.44089209850063e-16,TRUE,1.95399252334028e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",7,"all",70,70,21.7789159004877,21.7789159004877,14.9321514383874,14.9321514383874,0.256371944445206,0.256371944445205,2.8421709430404e-14,4.61852778244065e-14,6.10622663543836e-16,TRUE,4.61852778244065e-14,"PASS"
