"feature_set","fold","validation_year","variable","permutation_importance","selected_mtry","oob_mse"
"factors",8,2025,"coc_contributing_counties",5.5443876299217,7,141.42281853713
"factors",8,2025,"coc_contains_split_county_flag",3.07790217328506,7,141.42281853713
"factors",8,2025,"coc_housing_units_per_1000_residents",8.90454440396378,7,141.42281853713
"factors",8,2025,"coc_permits_per_1000_housing_units",6.28663242351116,7,141.42281853713
"factors",8,2025,"coc_multifamily_permit_share_pct",5.15974315456646,7,141.42281853713
"factors",8,2025,"coc_permits_value_per_1000_housing_units_2025_usd",7.22331067060865,7,141.42281853713
"factors",8,2025,"coc_birth_rate_per_1000",9.34105058553833,7,141.42281853713
"factors",8,2025,"coc_death_rate_per_1000",8.54416959536728,7,141.42281853713
"factors",8,2025,"coc_international_migration_rate_per_1000",6.44778589432733,7,141.42281853713
"factors",8,2025,"coc_domestic_migration_rate_per_1000",6.80806370900314,7,141.42281853713
"factors",8,2025,"coc_group_quarters_per_1000_residents",12.0001136563979,7,141.42281853713
"factors",8,2025,"coc_population_growth_rate_pct",7.28912694363907,7,141.42281853713
"factors",8,2025,"coc_housing_supply_growth_rate_pct",4.84593767494681,7,141.42281853713
"factors",8,2025,"coc_poverty_all_pct",6.71133720158352,7,141.42281853713
"factors",8,2025,"coc_poverty_child_pct",9.14955221086252,7,141.42281853713
"factors",8,2025,"coc_real_median_household_income_2025_usd",9.2502103417433,7,141.42281853713
"factors",8,2025,"coc_real_per_capita_personal_income_2025_usd",8.65601877259011,7,141.42281853713
"factors",8,2025,"coc_unemployment_rate_pct",6.66895830463776,7,141.42281853713
"factors",8,2025,"coc_high_school_graduate_pct",7.97411167145218,7,141.42281853713
"factors",8,2025,"coc_homeownership_rate_pct",9.39092730182657,7,141.42281853713
"factors",8,2025,"coc_housing_cost_burdened_households_pct",11.0123658223696,7,141.42281853713
"factors",8,2025,"coc_income_inequality_ratio",8.58545110961183,7,141.42281853713
"factors",8,2025,"coc_annual_hpi_change_pct",3.88250614646488,7,141.42281853713
"factors",8,2025,"coc_real_gdp_per_capita_2017_usd",10.0885347417117,7,141.42281853713
"factors",8,2025,"coc_real_gdp_quantity_index",7.40404755348383,7,141.42281853713
"factors",8,2025,"coc_relative_home_price_index_2000_base",7.17886767305278,7,141.42281853713
"factors",8,2025,"state_real_minimum_wage_2025_usd",5.6355029055379,7,141.42281853713
"factors",8,2025,"state_medicaid_expansion",3.39490379423509,7,141.42281853713
"factors",8,2025,"coc_hic_temporary_beds_per_10k",18.9799685199073,7,141.42281853713
"factors",8,2025,"coc_hic_psh_beds_per_10k",15.6406530074032,7,141.42281853713
"factors",8,2025,"state_anticamping_strictness",2.47444665950804,7,141.42281853713
"factors",8,2025,"state_tanf_max_benefit_3person",5.05414324527937,7,141.42281853713
"factors",8,2025,"state_ssi_state_supplement",4.77771330595499,7,141.42281853713
"factors",8,2025,"state_labor_force_participation_pct",9.11258368862715,7,141.42281853713
"factors",8,2025,"state_real_median_rent_2025_usd",6.08968801255606,7,141.42281853713
"factors",8,2025,"state_rental_vacancy_rate",5.09752206777729,7,141.42281853713
"factors_plus_prior",1,2017,"control_state_florida",2.22075595582492,20,166.894554105265
"factors_plus_prior",1,2017,"control_time_index",0.706348079784757,20,166.894554105265
"factors_plus_prior",1,2017,"coc_log_estimated_population",6.64403734266355,20,166.894554105265
"factors_plus_prior",1,2017,"coc_population_density_per_sq_mile",3.85284449468386,20,166.894554105265
"factors_plus_prior",1,2017,"coc_contributing_counties",2.00232606303758,20,166.894554105265
"factors_plus_prior",1,2017,"coc_contains_split_county_flag",0.367737587282821,20,166.894554105265
"factors_plus_prior",1,2017,"coc_housing_units_per_1000_residents",2.63662108000656,20,166.894554105265
